Train: [1][0/12], lr: 0.03000	Time 10.193 (10.193)	Data 5.414 (5.414)	Prec@1 7.812 (7.812)	Prec@5 49.219 (49.219)	Loss 8.3579 (8.3579)   loss_c 4.9688	beta 0.750, 0.750, 0.500  loss_a 2.7726	mu 4.000000  loss_s -0.0023	loss_edge 0.6187	
Train: [2][0/12], lr: 0.03000	Time 5.741 (5.741)	Data 5.269 (5.269)	Prec@1 45.312 (45.312)	Prec@5 77.344 (77.344)	Loss 6.2214 (6.2214)   loss_c 3.4576	beta 0.750, 0.750, 0.500  loss_a 2.7748	mu 4.000000  loss_s -0.0111	loss_edge 0.0000	
Train: [3][0/12], lr: 0.03000	Time 6.286 (6.286)	Data 5.854 (5.854)	Prec@1 82.812 (82.812)	Prec@5 97.656 (97.656)	Loss 4.0385 (4.0385)   loss_c 1.2715	beta 0.750, 0.750, 0.500  loss_a 2.7797	mu 4.000000  loss_s -0.0128	loss_edge 0.0000	
Train: [4][0/12], lr: 0.03000	Time 5.971 (5.971)	Data 5.464 (5.464)	Prec@1 91.406 (91.406)	Prec@5 100.000 (100.000)	Loss 3.3338 (3.3338)   loss_c 0.5713	beta 0.750, 0.750, 0.500  loss_a 2.7726	mu 4.000000  loss_s -0.0101	loss_edge 0.0000	
Train: [5][0/12], lr: 0.03000	Time 6.109 (6.109)	Data 5.704 (5.704)	Prec@1 96.875 (96.875)	Prec@5 100.000 (100.000)	Loss 3.0013 (3.0013)   loss_c 0.2525	beta 0.750, 0.750, 0.500  loss_a 2.7632	mu 4.000000  loss_s -0.0144	loss_edge 0.0000	
Train: [6][0/12], lr: 0.03000	Time 5.684 (5.684)	Data 5.176 (5.176)	Prec@1 97.656 (97.656)	Prec@5 100.000 (100.000)	Loss 2.9480 (2.9480)   loss_c 0.2055	beta 0.750, 0.750, 0.500  loss_a 2.7573	mu 4.000000  loss_s -0.0149	loss_edge 0.0000	
Train: [7][0/12], lr: 0.03000	Time 5.896 (5.896)	Data 5.514 (5.514)	Prec@1 97.656 (97.656)	Prec@5 100.000 (100.000)	Loss 2.9275 (2.9275)   loss_c 0.1228	beta 0.750, 0.750, 0.500  loss_a 2.8151	mu 4.000000  loss_s -0.0105	loss_edge 0.0000	
Train: [8][0/12], lr: 0.03000	Time 6.204 (6.204)	Data 5.783 (5.783)	Prec@1 95.312 (95.312)	Prec@5 100.000 (100.000)	Loss 3.0678 (3.0678)   loss_c 0.2060	beta 0.750, 0.750, 0.500  loss_a 2.8742	mu 4.000000  loss_s -0.0124	loss_edge 0.0000	
Train: [9][0/12], lr: 0.03000	Time 6.244 (6.244)	Data 5.786 (5.786)	Prec@1 98.438 (98.438)	Prec@5 100.000 (100.000)	Loss 2.8671 (2.8671)   loss_c 0.1243	beta 0.750, 0.750, 0.500  loss_a 2.7532	mu 4.000000  loss_s -0.0104	loss_edge 0.0000	
Train: [10][0/12], lr: 0.00300	Time 6.269 (6.269)	Data 5.820 (5.820)	Prec@1 98.438 (98.438)	Prec@5 100.000 (100.000)	Loss 2.8691 (2.8691)   loss_c 0.1344	beta 0.750, 0.750, 0.500  loss_a 2.7460	mu 4.000000  loss_s -0.0114	loss_edge 0.0001	
Train: [11][0/12], lr: 0.00300	Time 6.034 (6.034)	Data 5.572 (5.572)	Prec@1 98.438 (98.438)	Prec@5 100.000 (100.000)	Loss 2.7590 (2.7590)   loss_c 0.1056	beta 0.750, 0.750, 0.500  loss_a 2.6622	mu 4.000000  loss_s -0.0089	loss_edge 0.0001	
