Train: [1][0/12], lr: 0.03000	Time 10.779 (10.779)	Data 3.939 (3.939)	Prec@1 15.625 (15.625)	Prec@5 42.969 (42.969)	Loss 3.8838 (3.8838)   loss_c 2.4848	beta 0.750, 0.750, 0.500  loss_a 1.3863	gamma 0.003000  loss_e 4.2073	
Train: [2][0/12], lr: 0.02071	Time 4.651 (4.651)	Data 4.564 (4.564)	Prec@1 17.969 (17.969)	Prec@5 65.625 (65.625)	Loss 3.6749 (3.6749)   loss_c 2.3485	beta 0.750, 0.750, 0.500  loss_a 1.3146	gamma 0.003000  loss_e 3.9109	
Train: [3][0/12], lr: 0.01803	Time 4.130 (4.130)	Data 4.018 (4.018)	Prec@1 39.844 (39.844)	Prec@5 75.781 (75.781)	Loss 3.2501 (3.2501)   loss_c 1.9245	beta 0.750, 0.750, 0.500  loss_a 1.3153	gamma 0.003000  loss_e 3.4183	
Train: [4][0/12], lr: 0.01603	Time 4.445 (4.445)	Data 4.327 (4.327)	Prec@1 57.812 (57.812)	Prec@5 94.531 (94.531)	Loss 2.5048 (2.5048)   loss_c 1.1838	beta 0.750, 0.750, 0.500  loss_a 1.3128	gamma 0.003000  loss_e 2.7441	
Train: [5][0/12], lr: 0.01449	Time 4.610 (4.610)	Data 4.523 (4.523)	Prec@1 87.500 (87.500)	Prec@5 98.438 (98.438)	Loss 1.8721 (1.8721)   loss_c 0.5568	beta 0.750, 0.750, 0.500  loss_a 1.3099	gamma 0.003000  loss_e 1.8218	
Train: [6][0/12], lr: 0.01325	Time 4.287 (4.287)	Data 4.201 (4.201)	Prec@1 89.062 (89.062)	Prec@5 99.219 (99.219)	Loss 1.7022 (1.7022)   loss_c 0.4034	beta 0.750, 0.750, 0.500  loss_a 1.2947	gamma 0.003000  loss_e 1.3723	
Train: [7][0/12], lr: 0.01224	Time 4.559 (4.559)	Data 4.480 (4.480)	Prec@1 92.188 (92.188)	Prec@5 100.000 (100.000)	Loss 1.5478 (1.5478)   loss_c 0.2777	beta 0.750, 0.750, 0.500  loss_a 1.2666	gamma 0.003000  loss_e 1.1335	
Train: [8][0/12], lr: 0.01139	Time 4.283 (4.283)	Data 4.218 (4.218)	Prec@1 93.750 (93.750)	Prec@5 99.219 (99.219)	Loss 1.5269 (1.5269)   loss_c 0.2623	beta 0.750, 0.750, 0.500  loss_a 1.2614	gamma 0.003000  loss_e 1.0760	
Train: [9][0/12], lr: 0.01066	Time 4.311 (4.311)	Data 4.259 (4.259)	Prec@1 93.750 (93.750)	Prec@5 99.219 (99.219)	Loss 1.4977 (1.4977)   loss_c 0.2435	beta 0.750, 0.750, 0.500  loss_a 1.2512	gamma 0.003000  loss_e 0.9866	
Train: [10][0/12], lr: 0.01004	Time 4.403 (4.403)	Data 4.309 (4.309)	Prec@1 95.312 (95.312)	Prec@5 100.000 (100.000)	Loss 1.4683 (1.4683)   loss_c 0.2043	beta 0.750, 0.750, 0.500  loss_a 1.2612	gamma 0.003000  loss_e 0.8955	
Train: [11][0/12], lr: 0.00949	Time 4.746 (4.746)	Data 4.662 (4.662)	Prec@1 96.875 (96.875)	Prec@5 100.000 (100.000)	Loss 1.3714 (1.3714)   loss_c 0.1516	beta 0.750, 0.750, 0.500  loss_a 1.2174	gamma 0.003000  loss_e 0.8009	
Train: [12][0/12], lr: 0.00901	Time 4.368 (4.368)	Data 4.309 (4.309)	Prec@1 98.438 (98.438)	Prec@5 100.000 (100.000)	Loss 1.3444 (1.3444)   loss_c 0.1057	beta 0.750, 0.750, 0.500  loss_a 1.2365	gamma 0.003000  loss_e 0.7426	
Train: [13][0/12], lr: 0.00858	Time 4.319 (4.319)	Data 4.253 (4.253)	Prec@1 98.438 (98.438)	Prec@5 100.000 (100.000)	Loss 1.3474 (1.3474)   loss_c 0.0769	beta 0.750, 0.750, 0.500  loss_a 1.2685	gamma 0.003000  loss_e 0.6487	
Train: [14][0/12], lr: 0.00820	Time 4.445 (4.445)	Data 4.365 (4.365)	Prec@1 98.438 (98.438)	Prec@5 100.000 (100.000)	Loss 1.2969 (1.2969)   loss_c 0.0664	beta 0.750, 0.750, 0.500  loss_a 1.2288	gamma 0.003000  loss_e 0.5830	
