Train: [1][0/12], lr: 0.03000	Time 8.700 (8.700)	Data 5.088 (5.088)	Prec@1 6.250 (6.250)	Prec@5 33.594 (33.594)	Loss 5.2576 (5.2576)   loss_c 2.4850	beta 0.750, 0.750, 0.500  loss_a 0.6931	
Train: [2][0/12], lr: 0.03000	Time 5.253 (5.253)	Data 5.204 (5.204)	Prec@1 23.438 (23.438)	Prec@5 57.812 (57.812)	Loss 4.9815 (4.9815)   loss_c 2.3425	beta 0.750, 0.750, 0.500  loss_a 0.6598	
Train: [3][0/12], lr: 0.03000	Time 4.982 (4.982)	Data 4.940 (4.940)	Prec@1 39.062 (39.062)	Prec@5 81.250 (81.250)	Loss 4.4262 (4.4262)   loss_c 1.7931	beta 0.750, 0.750, 0.500  loss_a 0.6583	
Train: [4][0/12], lr: 0.03000	Time 5.146 (5.146)	Data 5.096 (5.096)	Prec@1 54.688 (54.688)	Prec@5 90.625 (90.625)	Loss 4.0894 (4.0894)   loss_c 1.4615	beta 0.750, 0.750, 0.500  loss_a 0.6570	
Train: [5][0/12], lr: 0.03000	Time 5.281 (5.281)	Data 5.232 (5.232)	Prec@1 57.031 (57.031)	Prec@5 97.656 (97.656)	Loss 3.7935 (3.7935)   loss_c 1.1759	beta 0.750, 0.750, 0.500  loss_a 0.6544	
Train: [6][0/12], lr: 0.03000	Time 5.684 (5.684)	Data 5.637 (5.637)	Prec@1 92.188 (92.188)	Prec@5 100.000 (100.000)	Loss 2.9933 (2.9933)   loss_c 0.3762	beta 0.750, 0.750, 0.500  loss_a 0.6543	
Train: [7][0/12], lr: 0.03000	Time 4.903 (4.903)	Data 4.857 (4.857)	Prec@1 95.312 (95.312)	Prec@5 100.000 (100.000)	Loss 2.7043 (2.7043)   loss_c 0.2568	beta 0.750, 0.750, 0.500  loss_a 0.6119	
Train: [8][0/12], lr: 0.03000	Time 5.130 (5.130)	Data 5.069 (5.069)	Prec@1 96.094 (96.094)	Prec@5 100.000 (100.000)	Loss 2.7644 (2.7644)   loss_c 0.1745	beta 0.750, 0.750, 0.500  loss_a 0.6475	
Train: [9][0/12], lr: 0.03000	Time 5.108 (5.108)	Data 5.068 (5.068)	Prec@1 95.312 (95.312)	Prec@5 100.000 (100.000)	Loss 2.6914 (2.6914)   loss_c 0.1548	beta 0.750, 0.750, 0.500  loss_a 0.6342	
Train: [10][0/12], lr: 0.00300	Time 5.157 (5.157)	Data 5.111 (5.111)	Prec@1 96.875 (96.875)	Prec@5 100.000 (100.000)	Loss 2.7648 (2.7648)   loss_c 0.1002	beta 0.750, 0.750, 0.500  loss_a 0.6662	
Train: [11][0/12], lr: 0.00300	Time 4.945 (4.945)	Data 4.900 (4.900)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 2.5383 (2.5383)   loss_c 0.0599	beta 0.750, 0.750, 0.500  loss_a 0.6196	
Train: [12][0/12], lr: 0.00300	Time 5.616 (5.616)	Data 5.576 (5.576)	Prec@1 98.438 (98.438)	Prec@5 100.000 (100.000)	Loss 2.5233 (2.5233)   loss_c 0.0621	beta 0.750, 0.750, 0.500  loss_a 0.6153	
Train: [13][0/12], lr: 0.00300	Time 5.329 (5.329)	Data 5.277 (5.277)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 2.5209 (2.5209)   loss_c 0.0541	beta 0.750, 0.750, 0.500  loss_a 0.6167	
Train: [14][0/12], lr: 0.00300	Time 5.037 (5.037)	Data 4.990 (4.990)	Prec@1 99.219 (99.219)	Prec@5 100.000 (100.000)	Loss 2.5295 (2.5295)   loss_c 0.0530	beta 0.750, 0.750, 0.500  loss_a 0.6191	
Train: [15][0/12], lr: 0.00300	Time 4.947 (4.947)	Data 4.906 (4.906)	Prec@1 99.219 (99.219)	Prec@5 100.000 (100.000)	Loss 2.5985 (2.5985)   loss_c 0.0515	beta 0.750, 0.750, 0.500  loss_a 0.6367	
Train: [16][0/12], lr: 0.00300	Time 5.171 (5.171)	Data 5.127 (5.127)	Prec@1 99.219 (99.219)	Prec@5 100.000 (100.000)	Loss 2.6608 (2.6608)   loss_c 0.0704	beta 0.750, 0.750, 0.500  loss_a 0.6476	
