Train: [1][0/20], lr: 0.03000	Time 7.326 (7.326)	Data 2.974 (2.974)	Prec@1 16.216 (16.216)	Prec@5 52.703 (52.703)	Loss 8.6331 (8.6331)   loss_c 2.4755	beta 0.750, 0.750, 0.500  loss_a 5.5451	loss_edge 0.6125	
Train: [2][0/20], lr: 0.03000	Time 3.549 (3.549)	Data 3.375 (3.375)	Prec@1 66.216 (66.216)	Prec@5 93.243 (93.243)	Loss 6.7799 (6.7799)   loss_c 1.2154	beta 0.750, 0.750, 0.500  loss_a 5.5643	loss_edge 0.0001	
Train: [3][0/20], lr: 0.03000	Time 3.863 (3.863)	Data 3.689 (3.689)	Prec@1 86.486 (86.486)	Prec@5 100.000 (100.000)	Loss 5.9917 (5.9917)   loss_c 0.4416	beta 0.750, 0.750, 0.500  loss_a 5.5499	loss_edge 0.0001	
Train: [4][0/20], lr: 0.03000	Time 3.416 (3.416)	Data 3.234 (3.234)	Prec@1 93.243 (93.243)	Prec@5 98.649 (98.649)	Loss 5.7675 (5.7675)   loss_c 0.2355	beta 0.750, 0.750, 0.500  loss_a 5.5318	loss_edge 0.0002	
Train: [5][0/20], lr: 0.03000	Time 3.577 (3.577)	Data 3.434 (3.434)	Prec@1 95.946 (95.946)	Prec@5 100.000 (100.000)	Loss 5.8209 (5.8209)   loss_c 0.1008	beta 0.750, 0.750, 0.500  loss_a 5.7199	loss_edge 0.0002	
Train: [6][0/20], lr: 0.03000	Time 3.783 (3.783)	Data 3.593 (3.593)	Prec@1 94.595 (94.595)	Prec@5 100.000 (100.000)	Loss 5.9753 (5.9753)   loss_c 0.1789	beta 0.750, 0.750, 0.500  loss_a 5.7962	loss_edge 0.0002	
Train: [7][0/20], lr: 0.03000	Time 3.470 (3.470)	Data 3.301 (3.301)	Prec@1 94.595 (94.595)	Prec@5 100.000 (100.000)	Loss 6.2233 (6.2233)   loss_c 0.1462	beta 0.750, 0.750, 0.500  loss_a 6.0769	loss_edge 0.0002	
Train: [8][0/20], lr: 0.03000	Time 3.419 (3.419)	Data 3.251 (3.251)	Prec@1 90.541 (90.541)	Prec@5 100.000 (100.000)	Loss 6.8116 (6.8116)   loss_c 0.2535	beta 0.750, 0.750, 0.500  loss_a 6.5580	loss_edge 0.0002	
Train: [9][0/20], lr: 0.03000	Time 3.425 (3.425)	Data 3.207 (3.207)	Prec@1 50.000 (50.000)	Prec@5 95.946 (95.946)	Loss 417.9300 (417.9300)   loss_c 4.4573	beta 0.750, 0.750, 0.500  loss_a 413.4725	loss_edge 0.0002	
Train: [10][0/20], lr: 0.00300	Time 3.637 (3.637)	Data 3.445 (3.445)	Prec@1 24.324 (24.324)	Prec@5 78.378 (78.378)	Loss 889.4686 (889.4686)   loss_c 30.6668	beta 0.750, 0.750, 0.500  loss_a 858.8015	loss_edge 0.0004	
Train: [11][0/20], lr: 0.00300	Time 3.559 (3.559)	Data 3.332 (3.332)	Prec@1 21.622 (21.622)	Prec@5 78.378 (78.378)	Loss 232.1921 (232.1921)   loss_c 33.9100	beta 0.750, 0.750, 0.500  loss_a 198.2815	loss_edge 0.0006	
